objectid,altnumtype,altnum
2565,Old Accession Number,B-1759
2566,Old Accession Number,B-1760
2574,Old Accession Number,B-1768
2579,Old Accession Number,B-1773
2580,Old Accession Number,B-1774
2589,Old Accession Number,B-1783
2590,Old Accession Number,B-1784
2595,Old Accession Number,B-1786
2602,Old Accession Number,B-1793
2606,Old Accession Number,B-1797
2610,Old Accession Number,B-1798
2612,Old Accession Number,B-1799
2615,Old Accession Number,B-1799
2617,Old Accession Number,B-1800
2620,Old Accession Number,B-1824
2623,Old Accession Number,B-1826
2626,Old Accession Number,B-1828
2630,Old Accession Number,B-1830
2644,Old Accession Number,B-1910
2645,Old Accession Number,B-1911
2646,Old Accession Number,B-1912
2651,Old Accession Number,B-1921
2659,Old Accession Number,B-1939
2671,Old Accession Number,B-1944
2672,Old Accession Number,B-1952
2674,Old Accession Number,B-1952
2677,Old Accession Number,B-1953
2682,Old Accession Number,B-1955
2685,Old Accession Number,B-1957
2691,Old Accession Number,B-1959
2692,Old Accession Number,B-1959
2695,Old Accession Number,B-1959
2707,Old Accession Number,B-1960
2710,Old Accession Number,B-1961
2712,Old Accession Number,B-1961
2720,Old Accession Number,B-2007
2723,Old Accession Number,B-2009
2725,Old Accession Number,B-2013
2726,Old Accession Number,B-2013
2730,Old Accession Number,B-2016
2732,Old Accession Number,B-2018
2733,Old Accession Number,B-2019
2734,Old Accession Number,B-2020
2738,Old Accession Number,B-2024
2741,Old Accession Number,B-2027
2746,Old Accession Number,B-2032
2752,Old Accession Number,B-2038
2755,Old Accession Number,B-2041
2765,Old Accession Number,B-2051
2774,Old Accession Number,B-2060
2776,Old Accession Number,B-2062
2781,Old Accession Number,B-2067
2783,Old Accession Number,B-2069
2789,Old Accession Number,B-2075
2790,Old Accession Number,B-2076
2792,Old Accession Number,B-2078
2797,Old Accession Number,B-2083
2802,Old Accession Number,B-2088
2803,Old Accession Number,B-2089
2805,Old Accession Number,B-2091
2824,Old Accession Number,B-2110
2826,Old Accession Number,B-2112
2834,Old Accession Number,B-2120
2836,Old Accession Number,B-2122
2837,Old Accession Number,B-2123
2839,Old Accession Number,B-2125
2847,Old Accession Number,B-2133
2848,Old Accession Number,B-2134
2853,Old Accession Number,B-2139
2856,Old Accession Number,B-2142
2857,Old Accession Number,B-2143
2858,Old Accession Number,B-2144
2863,Old Accession Number,B-2149
2868,Old Accession Number,B-2154
2869,Old Accession Number,B-2155
2871,Old Accession Number,B-2157
2877,Old Accession Number,B-2163
2880,Old Accession Number,B-2166
2881,Old Accession Number,B-2167
2886,Old Accession Number,B-2172
2891,Old Accession Number,B-2177
2895,Old Accession Number,B-2181
2901,Old Accession Number,B-2187
2904,Old Accession Number,B-2190
2921,Old Accession Number,B-2207
2923,Old Accession Number,B-2209
2925,Old Accession Number,B-2211
2928,Old Accession Number,B-2214
2931,Old Accession Number,B-2217
2935,Old Accession Number,B-2221
2938,Old Accession Number,B-2224
2946,Old Accession Number,B-2232
2963,Old Accession Number,B-2249
2964,Old Accession Number,B-2250
2971,Old Accession Number,B-2257
2972,Old Accession Number,B-2259
2980,Old Accession Number,B-2266
2981,Old Accession Number,B-2267
2985,Old Accession Number,B-2271
2987,Old Accession Number,B-2273
2990,Old Accession Number,B-2276
2994,Old Accession Number,B-2280
2995,Old Accession Number,B-2281
2999,Old Accession Number,B-2285
3000,Old Accession Number,B-2286
3001,Old Accession Number,B-2287
3009,Old Accession Number,B-2295
3014,Old Accession Number,B-2300
3015,Old Accession Number,B-2301
3018,Old Accession Number,B-2304
3021,Old Accession Number,B-2307
3022,Old Accession Number,B-2308
3026,Old Accession Number,B-2312
3027,Old Accession Number,B-2313
3029,Old Accession Number,B-2315
3032,Old Accession Number,B-2318
3048,Old Accession Number,B-2334
3051,Old Accession Number,B-2337
3057,Old Accession Number,B-2343
3058,Old Accession Number,B-2344
3060,Old Accession Number,B-2346
3063,Old Accession Number,B-2349
3065,Old Accession Number,B-2351
3066,Old Accession Number,B-2352
3074,Old Accession Number,B-2360
3075,Old Accession Number,B-2361
3085,Old Accession Number,B-2371
3115,Old Accession Number,B-2401
3117,Old Accession Number,B-2403
3123,Old Accession Number,B-2409
3125,Old Accession Number,B-2411
3142,Old Accession Number,B-2428
3143,Old Accession Number,B-2429
3159,Old Accession Number,697
3160,Old Accession Number,701
3166,Old Accession Number,B-2442
3167,Old Accession Number,B-2443
3168,Old Accession Number,B-2444
3169,Old Accession Number,B-2445
3177,Old Accession Number,B-2453
3178,Old Accession Number,B-2454
3183,Old Accession Number,B-2459
3190,Old Accession Number,B-2466
3193,Old Accession Number,B-2469
3201,Old Accession Number,699
3210,Old Accession Number,708
3211,Old Accession Number,709
3219,Old Accession Number,A-1679
3230,Old Accession Number,A-1690
3231,Old Accession Number,A-1691
3234,Old Accession Number,A-1694
3235,Old Accession Number,A-1695
3238,Old Accession Number,2778
3240,Old Accession Number,B-2582
3248,Old Accession Number,B-2590
3257,Old Accession Number,B-2599
3264,Old Accession Number,B-2606
3265,Old Accession Number,B-2607
3273,Old Accession Number,B-2615
3276,Old Accession Number,B-2618
3290,Old Accession Number,B-2633
3299,Old Accession Number,B-2642
3318,Old Accession Number,B-2661
3322,Old Accession Number,B-2665
3334,Old Accession Number,B-2677
3337,Old Accession Number,B-2680
3338,Old Accession Number,B-2681
3341,Old Accession Number,B-2684
3344,Old Accession Number,B-2687
3346,Old Accession Number,B-2689
3348,Old Accession Number,B-2691
3350,Old Accession Number,B-2693
3353,Old Accession Number,B-2696
3366,Old Accession Number,B-2709
3367,Old Accession Number,B-2710
3368,Old Accession Number,B-2711
3371,Old Accession Number,B-2714
3378,Old Accession Number,B-2721
