uuid,idschemelabel,identifier
004c1105-f293-43bd-92e8-a3aa99216d0a,ULAN ID,500012612
004c1105-f293-43bd-92e8-a3aa99216d0a,Wikidata ID,Q236050
004da064-ec61-488e-8b30-bb792a55e97b,Wikidata ID,Q64166121
004dc798-032f-41cd-9ea5-e82312db7f41,Wikidata ID,Q590002
004df8b1-f305-496e-8192-f35f326f9f1e,Wikidata ID,Q76561015
004f1795-d6e9-47cb-9a21-f7ab19b06311,Wikidata ID,Q64170252
004fce7b-eba1-4037-897c-5a6a5c47b5d1,Wikidata ID,Q64157641
00507b7a-92d5-447e-b159-57dbfd0c773e,Wikidata ID,Q64581000
0050bfc0-66a7-46a3-afea-358c51c0efd3,Old Accession Number,B-23681
0050bfc0-66a7-46a3-afea-358c51c0efd3,Wikidata ID,Q65506739
0050e3bf-e9d4-40c2-9afb-5f2d38e9cd2d,Old Accession Number,I-12439
0050e3bf-e9d4-40c2-9afb-5f2d38e9cd2d,Wikidata ID,Q64536723
00510fa6-ea8d-4c51-9c83-0485cf28e15e,Wikidata ID,Q75119195
00514307-fe50-47be-b76f-54d5689c15f3,Old Accession Number,B-26990
00514307-fe50-47be-b76f-54d5689c15f3,Wikidata ID,Q77007566
00517f49-4daf-4fab-8b7e-4402cea8d9a6,Wikidata ID,Q64570354
00528b23-30a9-4c4a-b1dd-bc9933510d89,ULAN ID,500054224
00528b23-30a9-4c4a-b1dd-bc9933510d89,Wikidata ID,Q4668893
0052e278-61fa-401c-9020-0485c0ab00c3,Wikidata ID,Q64165721
0052e2cf-6a19-4d93-91c0-e58fe0fe8dd8,Old Accession Number,B-30486
0052e2cf-6a19-4d93-91c0-e58fe0fe8dd8,Wikidata ID,Q65573925
0052e6bc-38be-4046-b6b4-73231d654e8c,Old Accession Number,B-12254
0052e6bc-38be-4046-b6b4-73231d654e8c,Wikidata ID,Q65086007
0053c3fc-e27d-4d9c-a067-23e6f489e944,Wikidata ID,Q64164150
00543904-ef7e-4ec5-a065-1f7c1e7957d5,Old Accession Number,B-28114
00543904-ef7e-4ec5-a065-1f7c1e7957d5,Wikidata ID,Q65576215
0054c974-94cf-4573-b541-f3acf9bbe037,Old Accession Number,A-761
0054c974-94cf-4573-b541-f3acf9bbe037,Wikidata ID,Q63847586
0054d37c-f577-482c-be3a-3bdb8ef34bbc,Wikidata ID,Q64593865
0054d758-480c-4d9c-9fa0-d567475735b2,Old Accession Number,A-1800
0054d758-480c-4d9c-9fa0-d567475735b2,Wikidata ID,Q63854588
00553a0b-e25b-4f6d-9724-108c7c1b6f5d,Wikidata ID,Q64579531
00559fbf-1da5-4762-9b98-89b7f1feca46,ULAN ID,500004801
00559fbf-1da5-4762-9b98-89b7f1feca46,Wikidata ID,Q160141
0055a268-f7b6-48ba-a418-586edc43d055,Old Accession Number,B-29000
0055a268-f7b6-48ba-a418-586edc43d055,Wikidata ID,Q65564617
0055d2ae-b6a4-490b-b764-5f27499e1354,Wikidata ID,Q76347185
00570cfb-95f8-4fe1-a545-52458552faa2,ULAN ID,500489351
00570cfb-95f8-4fe1-a545-52458552faa2,Wikidata ID,Q5298564
00577104-27c7-4f2d-afb1-c8811a35a4c6,Old Accession Number,B-19434
00577104-27c7-4f2d-afb1-c8811a35a4c6,Wikidata ID,Q65357633
0057bacd-53d7-492e-acee-979b14672a9f,Wikidata ID,Q63860940
0057bb6f-3f0b-44e8-91e6-40cf5f753cf2,Wikidata ID,Q75429092
00597a39-1b77-4132-b75d-fecc6eb06fe8,Wikidata ID,Q77009477
0059824a-6e0d-45aa-b68e-50e0083ea113,Wikidata ID,Q74066981
00598a80-9577-47b7-8ae3-7612192bd159,ULAN ID,500003894
