constituentid,text,texttype,year
8475,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 7-8.",bibliography,1990
10617,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 10",bibliography,1990
1370,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 84.",bibliography,1990
1353,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 3-5.",bibliography,1990
1356,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 42-43.",bibliography,1990
1744,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 105.",bibliography,1990
1698,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 92-93.",bibliography,1990
1946,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 112.",bibliography,1990
1950,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 116.",bibliography,1990
6615,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 88.",bibliography,1990
1993,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 134.",bibliography,1990
22529,"Assouline, Pierre. _Les dernier des Camondo_. Paris, 1997",bibliography,1997
2046,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 52.",bibliography,2000
2052,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 56-58.",bibliography,2000
2056,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 65-66.",bibliography,2000
2057,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 80, 82.",bibliography,2000
2075,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 97-98.",bibliography,2000
2079,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 213-214.",bibliography,2000
2122,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 272.",bibliography,2000
2235,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 298-299.",bibliography,2000
2246,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 440.",bibliography,2000
2251,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 303-306.",bibliography,2000
2262,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 453-454.",bibliography,2000
2272,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 465-469.",bibliography,2000
2192,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 286-287.",bibliography,2000
6446,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 276-277.",bibliography,2000
5973,"Butler, Ruth, and Suzanne Glover Lindsay, with Alison Luchs, Douglas Lewis, Cynthia J. Mills, and Jeffrey Weidman. _European Sculpture of the Nineteenth Century_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 2000: 292.",bibliography,2000
