objectid,element,dimensiontype,dimension,unitname
364,overall,height,40.0000000000,centimeters
364,overall,width,46.4000000000,centimeters
365,painted surface,height,46.9000000000,centimeters
365,painted surface,width,32.6000000000,centimeters
366,overall,height,76.6000000000,centimeters
366,overall,width,57.8000000000,centimeters
367,overall,height,76.0000000000,centimeters
367,overall,width,57.0000000000,centimeters
368,overall,height,79.4000000000,centimeters
368,overall,width,55.0000000000,centimeters
369,overall,height,77.2000000000,centimeters
369,overall,width,56.0000000000,centimeters
370,painted surface,height,32.7000000000,centimeters
370,painted surface,width,23.5000000000,centimeters
371,overall,height,106.4000000000,centimeters
371,overall,width,87.6000000000,centimeters
372,overall,height,150.2000000000,centimeters
372,overall,width,102.6000000000,centimeters
387,overall,height,48.4000000000,centimeters
387,overall,width,21.2000000000,centimeters
391,overall,height,58.7000000000,centimeters
391,overall,width,87.6000000000,centimeters
395,painted surface,height,27.6000000000,centimeters
395,painted surface,width,18.0000000000,centimeters
396,overall,height,95.7000000000,centimeters
396,overall,width,56.5000000000,centimeters
397,painted surface,height,85.4000000000,centimeters
397,painted surface,width,61.8000000000,centimeters
398,overall,height,76.8000000000,centimeters
398,overall,width,58.4000000000,centimeters
399,overall,height,76.2000000000,centimeters
399,overall,width,63.5000000000,centimeters
400,overall,height,91.4000000000,centimeters
400,overall,width,81.9000000000,centimeters
401,overall,height,88.9000000000,centimeters
401,overall,width,54.9000000000,centimeters
402,painted surface,height,45.1000000000,centimeters
402,painted surface,width,12.5000000000,centimeters
403,painted surface,height,45.1000000000,centimeters
403,painted surface,width,26.0000000000,centimeters
404,painted surface,height,45.4000000000,centimeters
404,painted surface,width,12.4000000000,centimeters
405,overall,height,74.2000000000,centimeters
405,overall,width,58.3000000000,centimeters
406,overall,height,25.1000000000,centimeters
406,overall,width,17.8000000000,centimeters
407,painted surface,height,32.8000000000,centimeters
407,painted surface,width,24.7000000000,centimeters
408,overall,height,44.5000000000,centimeters
408,overall,width,28.5000000000,centimeters
409,overall,height,56.2500000000,centimeters
