1963.10.31,"Faille 1970, no. 440",Newspaper,http://vocab.getty.edu/aat/300026656,1923,1923,Vincent van Gogh,NULL,"Coquiot, Gustave",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris,NULL,NULL,NULL,179.
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1975,1975,"National Gallery of Art, Washington",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,repro. 524.
1963.10.31,"Faille 1970, no. 440",Periodical,http://vocab.getty.edu/aat/300026657,1955,1955,Van Gogh et la famille Roulin,NULL,"Priou, J.-N.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,26-32.
1963.10.31,"Faille 1970, no. 440",Exhibition Catalogue,http://vocab.getty.edu/aat/300026096,2000,2000,Van Gogh,NULL,"Pickvance, Ronald",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Martigny,NULL,NULL,NULL,"305-306, no. 71."
1963.10.31,"Faille 1970, no. 440",Exhibition Catalogue,http://vocab.getty.edu/aat/300026096,2000,2000,Van Gogh Face to Face: The Portraits,NULL,"Dorn, Roland et al.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Detroit Institute of Arts,NULL,NULL,NULL,164-171.
1963.10.31,"Faille 1970, no. 440",Exhibition Catalogue,http://vocab.getty.edu/aat/300026096,2001,2001,Van Gogh and Gauguin: The Studio of the South,NULL,"Druick, Douglas W. and Peter Kort Zegers",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Chicago and New York,NULL,NULL,NULL,"227-234, repro."
1963.10.31,"Faille 1970, no. 440",Periodical,http://vocab.getty.edu/aat/300026657,1929,1929,Vincent van Gogh in Arles,NULL,"Stokvis, Benno",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,474.
1963.10.31,"Faille 1970, no. 440",Academic Journal,http://vocab.getty.edu/aat/300215390,2014,2014,Van Gogh’s Repetitions: Washington and Cleveland,NULL,"Kelly, Simon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"156, no. 1336",NULL,NULL,NULL,NULL,490.
1963.10.31,"Faille 1970, no. 440",Academic Journal,http://vocab.getty.edu/aat/300215390,2019,2019,"Series, Multiples, Replicas",NULL,"Barbour, Daphne, and Suzanne Quillen Lomax",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,"128-155, 129 unummbered fig. (detail), figs. 3, 7(c) (detail), 8 (c) (detail), 10 (c) (detail), 11 (c)."
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1942,1942,French Paintings from the Chester Dale Collection,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Washington, DC",NULL,NULL,NULL,"76, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1944,1944,Masterpieces of Painting from the National Gallery of Art,NULL,"Cairns, Huntington and John Walker, eds.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"178, color repro."
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1944,1944,French Paintings from the Chester Dale Collection,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Washington, DC",NULL,NULL,NULL,"76, repro."
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1953,1953,French Paintings from the Chester Dale Collection,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Washington, DC",NULL,NULL,NULL,"86, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1957,1957,"Comparisons in Art: A Companion to the National Gallery of Art, Washington, DC",NULL,"Shapley, Fern Rusk",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,London,NULL,NULL,NULL,pl. 102.
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1959,1959,French Painting of the 19th Century in the National Gallery of Art,NULL,"Evans, Grose",NULL,NULL,NULL,NULL,NULL,"Ten Schools of Painting in the National Gallery of Art, Washington, D.C.",NULL,booklet number 2,"Washington, D.C.",NULL,NULL,NULL,"36, color repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1960,1960,The National Gallery of Art and Its Collections--Reproductions of forty paintings,NULL,"National Gallery of Art; Cott, Perry B.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Washington, DC",NULL,NULL,NULL,"19, color repro. 17."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1963,1963,"National Gallery of Art, Washington, DC",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"274, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Summary Catalogue of European Paintings and Sculpture,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,59.
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1966,1966,A Pageant of Painting from the National Gallery of Art,NULL,"Cairns, Huntington, and John Walker, ed.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2 vols.,New York,NULL,NULL,NULL,"2:466, color repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1968,1968,European Paintings and Sculpture: Illustrations (Companion to the Summary Catalogue),NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"52, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1975,1975,European Paintings: An Illustrated Summary Catalogue,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"156, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1979,1979,"The National Gallery of Art, Washington",NULL,"Watson, Ross",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"120, pl. 106."
1963.10.151,"Faille 1970, no. 431",Essay,http://vocab.getty.edu/aat/300026291,1984,1984,"National Gallery of Art, Washington",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"516, no. 777, color repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1992,1992,"National Gallery of Art, Washington",NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"198, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1961,1961,Gauguin,NULL,"d'Angelis, Gaston",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris,NULL,NULL,NULL,"46, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1937,1937,"Vincent van Gogh's Great Period: Arles, St. Rémy and Auvers sur Oise (Complete Catalogue)",NULL,"Scherjon, W., and Jos. de Gruyter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"84, no. 55, repro."
1963.10.151,"Faille 1970, no. 431",Periodical,http://vocab.getty.edu/aat/300026657,1938,1938,Ambassador to Art,NULL,"Pemberton, Murdock",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,repro.
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1939,1939,Vincent Van Gogh,NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York and Paris,NULL,NULL,NULL,"330, no. 431, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Eighteenth and Nineteenth Century Paintings & Sculpture of the French School in the Chester Dale Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"National Gallery of Art, Washington",NULL,NULL,NULL,"125, repro."
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1970,1970,The Works of Vincent van Gogh: Paintings and Drawings,NULL,"Faille, J.-B. de la",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"no. F431, repro."
1963.10.151,"Faille 1970, no. 431",Periodical,http://vocab.getty.edu/aat/300026657,1973,1973,The new de la Faille,NULL,"Pickvance, Ronald",NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,179.
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1980,1980,"The Complete Van Gogh: Paintings, drawings, sketches",NULL,"Hulsker, Jan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"344, no. 1519, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1985,1985,European Paintings: An Illustrated Catalogue,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"180, repro."
1963.10.151,"Faille 1970, no. 431",Essay,http://vocab.getty.edu/aat/300026291,1988,1988,"Vincent van Gogh & Paul Cassirer, Berlin: The reception of Van Gogh in Germany from 1901 to 1914",NULL,"Feilchenfeldt, Walter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,94.
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1989,1989,Vincent van Gogh: Christianity versus Nature,NULL,"Kodera, Tsukasa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Philadelphia,NULL,NULL,NULL,"64, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1992,1992,True to Temperament: van Gogh and French Naturalist Literature,NULL,"Sund, Judy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cambridge,NULL,NULL,NULL,"178, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1993,1993,"Kunst, kennis en commercie: de kunsthandelaar J.H. de Bois (1878-1946)",NULL,"Heijbroek, Jan Frederik and E.L. Wouthuysen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"195, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1994,1994,Vincent van Gogh: Sämtliche Gemälde,NULL,"Walther, Ingo F., and Rainer Metzger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2 vols.,Cologne,NULL,NULL,NULL,"2:389, repro."
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1999,1999,Van Gogh: Provence and Auvers,NULL,"Welsh-Ovcharov, Bogomila.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"110, repro."
1963.10.151,"Faille 1970, no. 431",Exhibition Catalogue,http://vocab.getty.edu/aat/300026096,2000,2000,"The Arles Period: Symbolic Means, Decorative Ends",NULL,"Dorn, Roland",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,The Detroit Institute of Arts,NULL,NULL,NULL,repro. 143
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,2001,2001,Antimodernism and Artistic Experience,NULL,"Jirat-Wasiutyriski, Vojtech; ed. Lynda Jessup",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Toronto,NULL,NULL,NULL,"185, repro."
1963.10.151,"Faille 1970, no. 431",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1956,1956,"National Gallery of Art, Washington",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"58, repro."
1963.10.151,"Faille 1970, no. 431",Periodical,http://vocab.getty.edu/aat/300026657,1933,1933,"The Exhibition of French Art at the ""Art Institute"" of Chicago",NULL,"Rich, Daniel Catton",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,383.
1963.10.151,"Faille 1970, no. 431",Periodical,http://vocab.getty.edu/aat/300026657,1933,1933,Chicago Show to Present French Modern Classics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"XXXI, no. 34",NULL,NULL,NULL,NULL,"cover repro., as _Portrait of Mlle Gachet_"
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1939,1939,"Rebels of Art, Manet to Matisse",NULL,"Slocombe, George",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,pl. 19.
1963.10.151,"Faille 1970, no. 431",Monograph,http://vocab.getty.edu/aat/300060417,1936,1936,Significant Moderns and Their Pictures,NULL,"Bulliet, C. J.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,repro. no. 54.
1963.10.151,"Faille 1970, no. 431",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1928,1928,"L'Oeuvre de Vincent Van Gogh, catalogue raisonné",NULL,"Faille, J.-B. de la.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris and Brussels,NULL,NULL,NULL,1:no. 431; 2:repro.
